nohup: ignoring input
J = 0.0
After sweep 25 energy=-34.560855841172035  maxlinkdim=1800 maxerr=3.07E-06 time=133.200
After sweep 26 energy=-34.560871645810586  maxlinkdim=1900 maxerr=2.58E-06 time=149.295
After sweep 27 energy=-34.56088489218577  maxlinkdim=2000 maxerr=2.11E-06 time=163.797
After sweep 28 energy=-34.56088494431227  maxlinkdim=2000 maxerr=2.12E-06 time=169.531
After sweep 29 energy=-34.56088497254552  maxlinkdim=2000 maxerr=2.12E-06 time=153.925
After sweep 30 energy=-34.56088497281941  maxlinkdim=2000 maxerr=2.12E-06 time=125.262
Finished calculating correlation func. Starting to calculate spingap
After sweep 1 energy=-27.914165446116705  maxlinkdim=10 maxerr=9.92E-03 time=2.732
After sweep 2 energy=-31.850204286997297  maxlinkdim=20 maxerr=5.08E-03 time=3.579
After sweep 3 energy=-33.00163993508387  maxlinkdim=40 maxerr=2.05E-03 time=5.038
After sweep 4 energy=-33.712712630008966  maxlinkdim=75 maxerr=1.44E-03 time=5.981
After sweep 5 energy=-33.99312405232786  maxlinkdim=100 maxerr=9.28E-04 time=5.867
After sweep 6 energy=-34.13671722045041  maxlinkdim=150 maxerr=8.05E-04 time=6.773
After sweep 7 energy=-34.208634606117315  maxlinkdim=200 maxerr=4.60E-04 time=7.851
After sweep 8 energy=-34.24943665812974  maxlinkdim=250 maxerr=3.30E-04 time=7.857
After sweep 9 energy=-34.264771529693235  maxlinkdim=300 maxerr=2.20E-04 time=8.997
After sweep 10 energy=-34.27096111586812  maxlinkdim=350 maxerr=1.69E-04 time=9.920
After sweep 11 energy=-34.2745081812715  maxlinkdim=400 maxerr=1.38E-04 time=10.938
After sweep 12 energy=-34.27810923441245  maxlinkdim=500 maxerr=8.04E-05 time=12.358
After sweep 13 energy=-34.27973807261915  maxlinkdim=600 maxerr=5.03E-05 time=13.388
After sweep 14 energy=-34.280582017560825  maxlinkdim=700 maxerr=3.38E-05 time=17.843
After sweep 15 energy=-34.28108834511653  maxlinkdim=800 maxerr=2.39E-05 time=21.629
After sweep 16 energy=-34.28140368875851  maxlinkdim=900 maxerr=1.78E-05 time=25.086
After sweep 17 energy=-34.281609794417015  maxlinkdim=1000 maxerr=1.36E-05 time=34.055
After sweep 18 energy=-34.28174766962465  maxlinkdim=1100 maxerr=1.06E-05 time=37.578
After sweep 19 energy=-34.28184104626711  maxlinkdim=1200 maxerr=8.36E-06 time=40.333
After sweep 20 energy=-34.281907768059384  maxlinkdim=1300 maxerr=6.60E-06 time=56.697
After sweep 21 energy=-34.28195619999714  maxlinkdim=1400 maxerr=5.23E-06 time=57.459
After sweep 22 energy=-34.281992016271936  maxlinkdim=1500 maxerr=4.19E-06 time=64.723
After sweep 23 energy=-34.282018564316175  maxlinkdim=1600 maxerr=3.36E-06 time=61.088
After sweep 24 energy=-34.28203877932287  maxlinkdim=1700 maxerr=2.72E-06 time=99.611
After sweep 25 energy=-34.282053983863904  maxlinkdim=1800 maxerr=2.22E-06 time=133.440
After sweep 26 energy=-34.282065810150925  maxlinkdim=1900 maxerr=1.83E-06 time=135.482
After sweep 27 energy=-34.282075255559505  maxlinkdim=2000 maxerr=1.52E-06 time=157.014
After sweep 28 energy=-34.28207527250222  maxlinkdim=2000 maxerr=1.53E-06 time=167.754
After sweep 29 energy=-34.282075271519886  maxlinkdim=2000 maxerr=1.53E-06 time=161.018
After sweep 30 energy=-34.28207527101415  maxlinkdim=2000 maxerr=1.53E-06 time=165.536
J = 1.95
After sweep 1 energy=-27.05199462202045  maxlinkdim=10 maxerr=2.54E-02 time=5.831
After sweep 2 energy=-31.05435521907488  maxlinkdim=20 maxerr=6.01E-03 time=3.740
After sweep 3 energy=-32.83216470022759  maxlinkdim=40 maxerr=4.12E-03 time=4.306
After sweep 4 energy=-33.64604029166348  maxlinkdim=75 maxerr=2.12E-03 time=4.755
After sweep 5 energy=-34.34729511680285  maxlinkdim=100 maxerr=2.31E-03 time=5.583
After sweep 6 energy=-34.63840079014513  maxlinkdim=150 maxerr=8.72E-04 time=6.669
After sweep 7 energy=-34.72137039468358  maxlinkdim=200 maxerr=4.91E-04 time=7.853
After sweep 8 energy=-34.75122214748282  maxlinkdim=250 maxerr=3.25E-04 time=8.360
After sweep 9 energy=-34.76495648020055  maxlinkdim=300 maxerr=2.74E-04 time=8.561
After sweep 10 energy=-34.77115259161132  maxlinkdim=350 maxerr=2.22E-04 time=9.436
After sweep 11 energy=-34.77445869597399  maxlinkdim=400 maxerr=1.65E-04 time=10.681
After sweep 12 energy=-34.77809724608676  maxlinkdim=500 maxerr=1.30E-04 time=12.142
After sweep 13 energy=-34.78003647409146  maxlinkdim=600 maxerr=9.40E-05 time=14.960
After sweep 14 energy=-34.781275381412435  maxlinkdim=700 maxerr=6.25E-05 time=26.210
After sweep 15 energy=-34.78209794267336  maxlinkdim=800 maxerr=3.92E-05 time=34.303
After sweep 16 energy=-34.78259731697095  maxlinkdim=900 maxerr=2.61E-05 time=42.986
After sweep 17 energy=-34.78290295839492  maxlinkdim=1000 maxerr=1.88E-05 time=52.734
After sweep 18 energy=-34.78310285269188  maxlinkdim=1100 maxerr=1.40E-05 time=54.977
After sweep 19 energy=-34.783241743525124  maxlinkdim=1200 maxerr=1.09E-05 time=63.745
After sweep 20 energy=-34.783337154137016  maxlinkdim=1300 maxerr=8.86E-06 time=76.223
After sweep 21 energy=-34.783402340341205  maxlinkdim=1400 maxerr=7.00E-06 time=76.402
After sweep 22 energy=-34.78344991387894  maxlinkdim=1500 maxerr=5.71E-06 time=83.439
After sweep 23 energy=-34.783485232847475  maxlinkdim=1600 maxerr=4.69E-06 time=65.302
After sweep 24 energy=-34.783511952380096  maxlinkdim=1700 maxerr=3.85E-06 time=71.518
After sweep 25 energy=-34.78353300115778  maxlinkdim=1800 maxerr=3.17E-06 time=78.935
After sweep 26 energy=-34.78354946374876  maxlinkdim=1900 maxerr=2.66E-06 time=88.401
After sweep 27 energy=-34.78356279718193  maxlinkdim=2000 maxerr=2.19E-06 time=94.837
After sweep 28 energy=-34.78356299158528  maxlinkdim=2000 maxerr=2.20E-06 time=134.589
After sweep 29 energy=-34.7835630240212  maxlinkdim=2000 maxerr=2.20E-06 time=165.908
After sweep 30 energy=-34.78356302383243  maxlinkdim=2000 maxerr=2.20E-06 time=157.281
Finished calculating correlation func. Starting to calculate spingap
After sweep 1 energy=-27.57334378153044  maxlinkdim=10 maxerr=1.27E-02 time=6.881
After sweep 2 energy=-31.184502574422083  maxlinkdim=20 maxerr=8.73E-03 time=7.947
After sweep 3 energy=-32.614387753769456  maxlinkdim=40 maxerr=4.12E-03 time=4.073
After sweep 4 energy=-33.49750109486203  maxlinkdim=75 maxerr=3.85E-03 time=4.402
After sweep 5 energy=-34.07089503819192  maxlinkdim=100 maxerr=2.18E-03 time=5.305
After sweep 6 energy=-34.31765182516963  maxlinkdim=150 maxerr=8.43E-04 time=6.254
